Rank,Grade
1,A
1.5,A
2,A
2.5,A
3,A
3.5,A
4,A
4.5,A
5,A
5.5,A
6,B+
6.5,B+
7,B+
7.5,B+
8,B
8.5,B
9,B
9.5,B
10,B
10.5,B
11,B
11.5,B
12,B
12.5,B
13,B
13.5,B
14,B-
14.5,B-
15,B-
15.5,B-
16,C+
16.5,C+
17,C+
17.5,C+
18,C+
18.5,C+
19,C
19.5,C
20,C
20.5,C
21,C
21.5,C
22,C
22.5,C
23,C
23.5,C
24,C
24.5,C
25,C
25.5,C
26,C
26.5,C
27,C
27.5,C
28,C
28.5,C
29,C
29.5,C
30,C
30.5,C
31,C-
31.5,C-
32,C-
32.5,C-
33,C-
33.5,C-
34,C-
34.5,C-
35,C-
35.5,C-
36,D+
36.5,D+
37,D+
37.5,D+
38,D
38.5,D
39,D
39.5,D
40,D
40.5,D
41,D
41.5,D
42,D
42.5,D
43,D
43.5,D
44,D-
44.5,D-
45,D-
45.5,D-
46,F
46.5,F
47,F
47.5,F
48,F
48.5,F
49,F
49.5,F
50,F
,N/A
